,Movie Title,Percentage of Positive Reviews
0,Make a Selection,0
1,1-900 (1994),60
2,101 Dalmatians (1996),70.64
3,12 Angry Men (1957),99.2
4,187 (1997),68.29
5,2 Days in the Valley (1996),83.87
6,"20,000 Leagues Under the Sea (1954)",91.67
7,2001: A Space Odyssey (1968),90.35
8,"39 Steps, The (1935)",94.92
9,8 1/2 (1963),86.84
10,8 Heads in a Duffel Bag (1997),75
11,8 Seconds (1994),75
12,A Chef in Love (1996),100
13,Above the Rim (1994),80
14,Absolute Power (1997),84.25
15,"Abyss, The (1989)",88.74
16,Ace Ventura: Pet Detective (1994),70.87
17,Ace Ventura: When Nature Calls (1995),62.16
18,Across the Sea of Time (1995),75
19,Addams Family Values (1993),66.67
20,Addicted to Love (1997),77.78
21,"Addiction, The (1995)",36.36
22,"Adventures of Pinocchio, The (1996)",71.79
23,"Adventures of Priscilla, Queen of the Desert, The (1994)",89.19
24,"Adventures of Robin Hood, The (1938)",92.54
25,"Affair to Remember, An (1957)",92.31
26,"African Queen, The (1951)",98.68
27,Afterglow (1997),72.22
28,"Age of Innocence, The (1993)",80
29,Aiqing wansui (1994),100
30,Air Bud (1997),53.49
31,Air Force One (1997),88.17
32,"Air Up There, The (1994)",81.25
33,Airheads (1994),37.5
34,Akira (1988),80
35,Aladdin (1992),92.24
36,Aladdin and the King of Thieves (1996),65.38
37,Alaska (1996),61.54
38,Albino Alligator (1996),66.67
39,Alice in Wonderland (1951),95.06
40,Alien (1979),94.16
41,Alien 3 (1992),57
42,Alien: Resurrection (1997),68.55
43,Aliens (1986),92.25
44,All About Eve (1950),95.45
45,All Dogs Go to Heaven 2 (1996),33.33
46,All Over Me (1997),100
47,All Things Fair (1996),100
48,Alphaville (1965),75
49,Amadeus (1984),97.1
50,Amateur (1994),61.11
51,"Amazing Panda Adventure, The (1995)",50
52,American Buffalo (1996),54.55
53,American Dream (1990),50
54,"American President, The (1995)",90.24
55,American Strays (1996),50
56,"American Werewolf in London, An (1981)",88.89
57,"American in Paris, An (1951)",94
58,Amistad (1997),87.9
59,"Amityville Horror, The (1979)",54.72
60,Amityville II: The Possession (1982),21.43
61,Amos & Andrew (1993),57.89
62,An Unforgettable Summer (1994),75
63,Anaconda (1997),47.37
64,Anastasia (1997),78.79
65,Andre (1994),66.67
66,Angel Baby (1995),75
67,Angel and the Badman (1947),83.33
68,Angela (1995),100
69,Angels and Insects (1995),76.39
70,Angels in the Outfield (1994),76.92
71,Angus (1995),64.29
72,Anna (1996),100
73,Anna Karenina (1997),63.64
74,Anne Frank Remembered (1995),85.71
75,Annie Hall (1977),90
76,Another Stakeout (1993),53.57
77,Antonia's Line (1995),91.3
78,Aparajito (1956),71.43
79,"Apartment, The (1960)",95.24
80,Apocalypse Now (1979),93.21
81,Apollo 13 (1995),95.65
82,"Apostle, The (1997)",85.45
83,"Apple Dumpling Gang, The (1975)",72
84,April Fool's Day (1986),66.67
85,Apt Pupil (1998),96.88
86,"Aristocats, The (1970)",70.37
87,Army of Darkness (1993),81.9
88,Around the World in 80 Days (1956),93.22
89,"Arrival, The (1996)",69.88
90,Arsenic and Old Lace (1944),97.39
91,As Good As It Gets (1997),98.21
92,Assassins (1995),66.67
93,"Assignment, The (1997)",83.33
94,"Associate, The (1996)",75.61
95,Audrey Rose (1977),25
96,Austin Powers: International Man of Mystery (1997),74.62
97,"Awfully Big Adventure, An (1995)",50
98,Ayn Rand: A Sense of Life (1997),71.43
99,B*A*P*S (1997),33.33
100,B. Monkey (1998),100
101,Babe (1995),92.24
102,"Baby-Sitters Club, The (1995)",40
103,"Babysitter, The (1995)",66.67
104,Back to the Future (1985),93.43
105,Backbeat (1993),84.21
106,Bad Boys (1995),77.19
107,Bad Company (1995),22.22
108,Bad Girls (1994),16.67
109,Bad Moon (1996),66.67
110,Bad Taste (1987),68.75
111,"Ballad of Narayama, The (Narayama Bushiko) (1958)",50
112,Balto (1995),68.75
113,Bananas (1971),87.72
